ts_ms,iso,best_bid,best_ask,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size,spread,mid,imbalance_l1,imbalance_k
1755333324328,2025-08-16T08:35:24.328000+00:00,117543.1000000000,117543.2000000000,117543.1000000000,3.8120000000,117543.0000000000,0.0710000000,117542.8000000000,0.1290000000,117542.7000000000,0.0010000000,117542.3000000000,0.0320000000,117542.1000000000,0.0020000000,117541.6000000000,0.1510000000,117541.5000000000,0.1170000000,117541.2000000000,0.0300000000,117540.8000000000,0.0020000000,117543.2000000000,4.1460000000,117544.2000000000,0.0170000000,117544.4000000000,2.1550000000,117544.6000000000,1.8420000000,117545.3000000000,0.0020000000,117546.0000000000,0.0490000000,117546.4000000000,0.0090000000,117546.5000000000,0.0020000000,117546.6000000000,0.2780000000,117547.0000000000,0.2620000000,0.1000000000,117543.1500000000,0.4790148278,0.3316042414
1755333324429,2025-08-16T08:35:24.429000+00:00,117543.1000000000,117543.2000000000,117543.1000000000,3.7840000000,117543.0000000000,0.0710000000,117542.8000000000,0.1290000000,117542.7000000000,0.0010000000,117542.3000000000,0.0320000000,117542.1000000000,0.0020000000,117541.6000000000,0.1510000000,117541.5000000000,0.1170000000,117541.2000000000,0.0300000000,117540.8000000000,0.0020000000,117543.2000000000,4.1460000000,117544.2000000000,0.0170000000,117544.4000000000,2.1550000000,117544.6000000000,1.8420000000,117545.3000000000,0.0020000000,117546.0000000000,0.0490000000,117546.4000000000,0.0090000000,117546.5000000000,0.0020000000,117546.6000000000,0.2780000000,117547.0000000000,0.2620000000,0.1000000000,117543.1500000000,0.4771752837,0.3301735341
1755333324528,2025-08-16T08:35:24.528000+00:00,117543.1000000000,117543.2000000000,117543.1000000000,3.7840000000,117543.0000000000,0.0710000000,117542.8000000000,0.1290000000,117542.7000000000,0.0010000000,117542.3000000000,0.0320000000,117542.1000000000,0.0020000000,117541.6000000000,0.1510000000,117541.5000000000,0.1170000000,117541.2000000000,0.0300000000,117540.8000000000,0.0020000000,117543.2000000000,4.1460000000,117544.2000000000,0.0170000000,117544.4000000000,2.1550000000,117544.6000000000,1.8420000000,117545.3000000000,0.0020000000,117546.0000000000,0.0490000000,117546.4000000000,0.0090000000,117546.5000000000,0.0020000000,117546.6000000000,0.2780000000,117547.0000000000,0.2620000000,0.1000000000,117543.1500000000,0.4771752837,0.3301735341
1755333325528,2025-08-16T08:35:25.528000+00:00,117543.1000000000,117543.2000000000,117543.1000000000,3.6010000000,117543.0000000000,0.0710000000,117542.8000000000,0.0010000000,117542.7000000000,0.0010000000,117542.3000000000,0.0320000000,117542.1000000000,0.0020000000,117541.9000000000,0.0020000000,117541.8000000000,0.1410000000,117541.6000000000,0.1510000000,117541.5000000000,0.1170000000,117543.2000000000,3.5430000000,117544.2000000000,0.0130000000,117544.4000000000,2.1550000000,117544.6000000000,1.8420000000,117545.3000000000,0.0020000000,117546.4000000000,0.0090000000,117546.5000000000,0.0020000000,117547.0000000000,0.2620000000,117547.2000000000,0.0010000000,117547.8000000000,0.2460000000,0.1000000000,117543.1500000000,0.5040593505,0.3377890766
1755333326529,2025-08-16T08:35:26.529000+00:00,117543.1000000000,117543.2000000000,117543.1000000000,2.0850000000,117543.0000000000,0.0710000000,117542.8000000000,0.0010000000,117542.7000000000,0.0010000000,117542.3000000000,0.0320000000,117542.1000000000,0.0020000000,117541.9000000000,0.0020000000,117541.5000000000,0.1170000000,117541.2000000000,0.0300000000,117540.8000000000,0.0020000000,117543.2000000000,4.5180000000,117544.2000000000,0.0150000000,117544.4000000000,2.1550000000,117544.6000000000,1.8420000000,117544.7000000000,0.2490000000,117546.4000000000,0.0090000000,117546.5000000000,0.0020000000,117547.0000000000,0.2620000000,117547.2000000000,0.0010000000,117547.7000000000,0.0020000000,0.1000000000,117543.1500000000,0.3157655611,0.2055623794
1755333327528,2025-08-16T08:35:27.528000+00:00,117543.1000000000,117543.2000000000,117543.1000000000,2.0630000000,117543.0000000000,0.0710000000,117542.8000000000,0.0010000000,117542.7000000000,0.0010000000,117542.3000000000,0.0320000000,117542.1000000000,0.0020000000,117541.9000000000,0.0020000000,117541.5000000000,0.1170000000,117541.2000000000,0.0300000000,117540.8000000000,0.0020000000,117543.2000000000,4.4850000000,117544.2000000000,0.0170000000,117544.4000000000,2.1550000000,117544.6000000000,1.8420000000,117544.7000000000,0.2490000000,117546.4000000000,0.0090000000,117546.5000000000,0.0020000000,117547.0000000000,0.2620000000,117547.2000000000,0.0010000000,117547.7000000000,0.0020000000,0.1000000000,117543.1500000000,0.3150580330,0.2045835170
1755333328528,2025-08-16T08:35:28.528000+00:00,117543.1000000000,117543.2000000000,117543.1000000000,0.8180000000,117543.0000000000,0.0710000000,117542.8000000000,0.0010000000,117542.7000000000,0.0010000000,117542.3000000000,0.0320000000,117542.1000000000,0.0020000000,117541.9000000000,0.0020000000,117541.5000000000,0.1170000000,117541.2000000000,0.0300000000,117540.8000000000,0.0020000000,117543.2000000000,5.5310000000,117544.2000000000,0.0170000000,117544.4000000000,2.1550000000,117544.6000000000,1.8420000000,117544.7000000000,0.2490000000,117546.4000000000,0.0090000000,117546.5000000000,0.0020000000,117547.0000000000,0.2620000000,117547.2000000000,0.0010000000,117547.7000000000,0.0020000000,0.1000000000,117543.1500000000,0.1288391873,0.0965368742
1755333329529,2025-08-16T08:35:29.529000+00:00,117543.1000000000,117543.2000000000,117543.1000000000,1.4320000000,117543.0000000000,0.0710000000,117542.8000000000,0.0010000000,117542.7000000000,0.0010000000,117542.3000000000,0.0320000000,117542.1000000000,0.0020000000,117541.9000000000,0.0020000000,117541.5000000000,0.1170000000,117541.2000000000,0.0300000000,117540.8000000000,0.0020000000,117543.2000000000,5.4440000000,117544.2000000000,0.0170000000,117544.4000000000,2.1550000000,117544.6000000000,1.8420000000,117544.7000000000,0.2490000000,117546.4000000000,0.0090000000,117546.5000000000,0.0020000000,117547.0000000000,0.2620000000,117547.2000000000,0.0010000000,117547.7000000000,0.0020000000,0.1000000000,117543.1500000000,0.2082606166,0.1447785488
1755333330528,2025-08-16T08:35:30.528000+00:00,117543.1000000000,117543.2000000000,117543.1000000000,0.8880000000,117543.0000000000,0.0720000000,117542.8000000000,0.0010000000,117542.7000000000,0.0010000000,117542.3000000000,0.0320000000,117542.1000000000,0.0020000000,117541.9000000000,0.0020000000,117541.5000000000,0.1170000000,117541.2000000000,0.0300000000,117540.8000000000,0.0020000000,117543.2000000000,5.4870000000,117544.2000000000,1.2170000000,117544.4000000000,2.9550000000,117544.5000000000,1.0010000000,117544.6000000000,2.9040000000,117544.7000000000,0.2480000000,117546.4000000000,0.0090000000,117546.5000000000,0.0020000000,117546.9000000000,0.0160000000,117547.0000000000,0.2620000000,0.1000000000,117543.1500000000,0.1392941176,0.0752229801
1755333331528,2025-08-16T08:35:31.528000+00:00,117543.1000000000,117543.2000000000,117543.1000000000,0.3010000000,117543.0000000000,0.0720000000,117542.8000000000,0.0010000000,117542.7000000000,0.0010000000,117542.3000000000,0.0320000000,117542.1000000000,0.0020000000,117541.9000000000,0.0020000000,117541.5000000000,0.1170000000,117540.8000000000,0.0020000000,117540.6000000000,0.0700000000,117543.2000000000,5.6750000000,117543.6000000000,1.0010000000,117544.2000000000,3.1740000000,117544.3000000000,1.0010000000,117544.4000000000,2.9550000000,117544.6000000000,1.9040000000,117544.7000000000,0.2480000000,117545.5000000000,0.0160000000,117546.5000000000,0.0020000000,117547.0000000000,0.2620000000,0.1000000000,117543.1500000000,0.0503681392,0.0356336857
