slice,ts_ms,iso,slice_target_qty,desired_qty_incl_carry,filled_qty,slice_vwap,levels_touched,mid,slippage_bps_vs_mid,carry_to_next
1,1755510828273,2025-08-18T09:53:48.273000+00:00,2.7625237424573275,2.7625237424573275,2.7625237424573275,4304.4,1,4304.395,0.011616034307259542,0.0
2,1755510828273,2025-08-18T09:53:48.273000+00:00,2.7625237424573275,2.7625237424573275,2.7625237424573275,4304.4,1,4304.395,0.011616034307259542,0.0
3,1755510828374,2025-08-18T09:53:48.374000+00:00,2.9382502293489066,2.9382502293489066,2.9382502293489066,4304.4,1,4304.395,0.011616034307259542,0.0
4,1755510828374,2025-08-18T09:53:48.374000+00:00,2.9382502293489066,2.9382502293489066,2.9382502293489066,4304.4,1,4304.395,0.011616034307259542,0.0
5,1755510828873,2025-08-18T09:53:48.873000+00:00,4.242631762562506,4.242631762562506,4.242631762562506,4304.4,1,4304.395,0.011616034307259542,0.0
6,1755510828873,2025-08-18T09:53:48.873000+00:00,4.242631762562506,4.242631762562506,4.242631762562506,4304.4,1,4304.395,0.011616034307259542,0.0
7,1755510828873,2025-08-18T09:53:48.873000+00:00,4.242631762562506,4.242631762562506,4.242631762562506,4304.4,1,4304.395,0.011616034307259542,0.0
8,1755510829873,2025-08-18T09:53:49.873000+00:00,4.371842414688665,4.371842414688665,4.371842414688665,4304.4,1,4304.395,0.011616034307259542,0.0
9,1755510829873,2025-08-18T09:53:49.873000+00:00,4.371842414688665,4.371842414688665,4.371842414688665,4304.4,1,4304.395,0.011616034307259542,0.0
10,1755510830873,2025-08-18T09:53:50.873000+00:00,3.497732353055185,3.497732353055185,3.497732353055185,4304.4,1,4304.395,0.011616034307259542,0.0
11,1755510830873,2025-08-18T09:53:50.873000+00:00,3.497732353055185,3.497732353055185,3.497732353055185,4304.4,1,4304.395,0.011616034307259542,0.0
12,1755510830873,2025-08-18T09:53:50.873000+00:00,3.497732353055185,3.497732353055185,3.497732353055185,4304.4,1,4304.395,0.011616034307259542,0.0
13,1755510831873,2025-08-18T09:53:51.873000+00:00,0.5627123900094319,0.5627123900094319,0.5627123900094319,4304.96,1,4304.955,0.011614523264724346,0.0
14,1755510831873,2025-08-18T09:53:51.873000+00:00,0.5627123900094319,0.5627123900094319,0.5627123900094319,4304.96,1,4304.955,0.011614523264724346,0.0
15,1755510832873,2025-08-18T09:53:52.873000+00:00,0.4438385900533635,0.4438385900533635,0.4438385900533635,4305.26,1,4305.255,0.011613713938220012,0.0
16,1755510832873,2025-08-18T09:53:52.873000+00:00,0.4438385900533635,0.4438385900533635,0.4438385900533635,4305.26,1,4305.255,0.011613713938220012,0.0
17,1755510832873,2025-08-18T09:53:52.873000+00:00,0.4438385900533635,0.4438385900533635,0.4438385900533635,4305.26,1,4305.255,0.011613713938220012,0.0
18,1755510833873,2025-08-18T09:53:53.873000+00:00,0.8728179551122185,0.8728179551122185,0.8728179551122185,4305.84,1,4305.835,0.01161214956009494,0.0
19,1755510833873,2025-08-18T09:53:53.873000+00:00,0.8728179551122185,0.8728179551122185,0.8728179551122185,4305.84,1,4305.835,0.01161214956009494,0.0
20,1755510834874,2025-08-18T09:53:54.874000+00:00,0.4890623182975201,0.4890623182975201,0.4890623182975201,4306.766089410832,9,4306.515,0.5830454807003105,0.0
21,1755510834874,2025-08-18T09:53:54.874000+00:00,0.4890623182975201,0.4890623182975201,0.4890623182975201,4306.766089410832,9,4306.515,0.5830454807003105,0.0
22,1755510834874,2025-08-18T09:53:54.874000+00:00,0.4890623182975201,0.4890623182975201,0.4890623182975201,4306.766089410832,9,4306.515,0.5830454807003105,0.0
23,1755510835873,2025-08-18T09:53:55.873000+00:00,0.48195573243058115,0.48195573243058115,0.48195573243058115,4306.7767475737255,13,4306.515,0.6077944085303034,0.0
24,1755510835873,2025-08-18T09:53:55.873000+00:00,0.48195573243058115,0.48195573243058115,0.48195573243058115,4306.7767475737255,13,4306.515,0.6077944085303034,0.0
