ts_ms,iso,exchange_id,symbol,book_level,raw_nonce,best_bid,best_ask,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size
1755683013773,2025-08-20T09:43:33.773000+00:00,bybit,ETH/USDT:USDT,L2,,4227.4200000000,4227.4300000000,4227.4200000000,57.4900000000,4227.4100000000,3.9900000000,4227.3700000000,0.5300000000,4227.3600000000,0.8000000000,4227.3200000000,0.9800000000,4227.4300000000,44.8100000000,4227.4800000000,0.0200000000,4227.5100000000,0.0100000000,4227.5200000000,0.0300000000,4227.5600000000,0.0200000000
1755683013873,2025-08-20T09:43:33.873000+00:00,bybit,ETH/USDT:USDT,L2,,4227.4200000000,4227.4300000000,4227.4200000000,57.4900000000,4227.4100000000,3.9900000000,4227.3700000000,0.5300000000,4227.3600000000,0.8000000000,4227.3200000000,0.9800000000,4227.4300000000,44.8100000000,4227.4800000000,0.0200000000,4227.5100000000,0.0100000000,4227.5200000000,0.0300000000,4227.5600000000,0.0200000000
1755683013974,2025-08-20T09:43:33.974000+00:00,bybit,ETH/USDT:USDT,L2,,4227.4200000000,4227.4300000000,4227.4200000000,57.4900000000,4227.4100000000,3.9900000000,4227.3700000000,0.5300000000,4227.3600000000,0.8000000000,4227.3200000000,0.9800000000,4227.4300000000,44.7600000000,4227.4800000000,0.0200000000,4227.5100000000,0.0100000000,4227.5200000000,0.0300000000,4227.5600000000,0.0200000000
1755683014073,2025-08-20T09:43:34.073000+00:00,bybit,ETH/USDT:USDT,L2,,4227.4200000000,4227.4300000000,4227.4200000000,57.4900000000,4227.4100000000,3.9900000000,4227.3700000000,0.2500000000,4227.3600000000,0.8000000000,4227.3200000000,0.0200000000,4227.4300000000,44.7600000000,4227.4800000000,0.0200000000,4227.5100000000,0.0100000000,4227.5200000000,0.0300000000,4227.5600000000,0.0200000000
1755683014173,2025-08-20T09:43:34.173000+00:00,bybit,ETH/USDT:USDT,L2,,4227.4200000000,4227.4300000000,4227.4200000000,57.4900000000,4227.4100000000,3.9900000000,4227.3700000000,0.2500000000,4227.3600000000,0.8000000000,4227.3200000000,0.0200000000,4227.4300000000,44.7600000000,4227.4800000000,0.0200000000,4227.5100000000,0.0100000000,4227.5200000000,0.0300000000,4227.5600000000,0.0200000000
1755683014274,2025-08-20T09:43:34.274000+00:00,bybit,ETH/USDT:USDT,L2,,4227.4200000000,4227.4300000000,4227.4200000000,53.2700000000,4227.4100000000,3.9900000000,4227.3700000000,0.2500000000,4227.3600000000,0.8000000000,4227.3200000000,0.0200000000,4227.4300000000,54.5800000000,4227.4800000000,0.0200000000,4227.5100000000,0.0100000000,4227.5200000000,0.0300000000,4227.5600000000,0.0200000000
1755683014774,2025-08-20T09:43:34.774000+00:00,bybit,ETH/USDT:USDT,L2,,4227.4200000000,4227.4300000000,4227.4200000000,28.2200000000,4227.4100000000,3.9900000000,4227.3700000000,0.2500000000,4227.3600000000,0.8000000000,4227.3200000000,0.0200000000,4227.4300000000,53.6500000000,4227.4800000000,0.0200000000,4227.5100000000,0.0100000000,4227.5200000000,0.0300000000,4227.5600000000,0.0200000000
1755683015273,2025-08-20T09:43:35.273000+00:00,bybit,ETH/USDT:USDT,L2,,4227.4200000000,4227.4300000000,4227.4200000000,19.2000000000,4227.4100000000,3.9900000000,4227.3700000000,0.2500000000,4227.3600000000,0.8000000000,4227.3200000000,0.0200000000,4227.4300000000,53.8900000000,4227.4800000000,0.0200000000,4227.5100000000,0.0100000000,4227.5200000000,0.0300000000,4227.5600000000,0.0200000000
1755683015774,2025-08-20T09:43:35.774000+00:00,bybit,ETH/USDT:USDT,L2,,4226.9800000000,4226.9900000000,4226.9800000000,17.3200000000,4226.9400000000,0.0200000000,4226.9200000000,0.0100000000,4226.8900000000,0.0200000000,4226.8800000000,0.1000000000,4226.9900000000,53.5400000000,4227.0000000000,1.2800000000,4227.0400000000,0.0100000000,4227.1000000000,1.2700000000,4227.1200000000,0.0100000000
1755683016273,2025-08-20T09:43:36.273000+00:00,bybit,ETH/USDT:USDT,L2,,4226.9800000000,4226.9900000000,4226.9800000000,6.2200000000,4226.9400000000,0.5000000000,4226.9200000000,0.0100000000,4226.8900000000,0.0200000000,4226.8800000000,0.1000000000,4226.9900000000,50.5800000000,4227.0000000000,1.2800000000,4227.0400000000,0.0100000000,4227.1000000000,1.2700000000,4227.1200000000,6.7300000000
1755683016773,2025-08-20T09:43:36.773000+00:00,bybit,ETH/USDT:USDT,L2,,4226.9800000000,4226.9900000000,4226.9800000000,6.3300000000,4226.9400000000,0.5000000000,4226.9200000000,0.0100000000,4226.8900000000,0.0200000000,4226.8500000000,0.0200000000,4226.9900000000,50.5800000000,4227.0000000000,1.2800000000,4227.0400000000,0.0100000000,4227.0700000000,5.6600000000,4227.1000000000,1.2700000000
1755683331173,2025-08-20T09:48:51.173000+00:00,bybit,ETH/USDT:USDT,L2,,4228.5500000000,4228.5600000000,4228.5500000000,5.2400000000,4228.5400000000,0.0200000000,4228.5000000000,0.0200000000,4228.4800000000,0.0100000000,4228.4700000000,0.0100000000,4228.5600000000,65.6300000000,4228.6000000000,1.2700000000,4228.6200000000,0.0200000000,4228.6800000000,1.8500000000,4228.6900000000,0.0100000000
1755683331273,2025-08-20T09:48:51.273000+00:00,bybit,ETH/USDT:USDT,L2,,4228.5500000000,4228.5600000000,4228.5500000000,12.1900000000,4228.5400000000,0.0200000000,4228.5000000000,0.0200000000,4228.4800000000,0.0100000000,4228.4700000000,0.0100000000,4228.5600000000,65.6300000000,4228.6000000000,1.2700000000,4228.6200000000,0.0200000000,4228.6800000000,1.8500000000,4228.6900000000,0.0100000000
1755683331373,2025-08-20T09:48:51.373000+00:00,bybit,ETH/USDT:USDT,L2,,4228.5500000000,4228.5600000000,4228.5500000000,12.2200000000,4228.5400000000,0.0200000000,4228.5000000000,0.0200000000,4228.4800000000,0.0100000000,4228.4700000000,0.0100000000,4228.5600000000,65.7200000000,4228.6000000000,1.2700000000,4228.6200000000,0.0200000000,4228.6800000000,1.8500000000,4228.6900000000,0.0100000000
1755683331473,2025-08-20T09:48:51.473000+00:00,bybit,ETH/USDT:USDT,L2,,4228.5500000000,4228.5600000000,4228.5500000000,12.1900000000,4228.5400000000,0.0200000000,4228.5000000000,0.0200000000,4228.4800000000,0.0100000000,4228.4700000000,0.0100000000,4228.5600000000,65.7200000000,4228.6000000000,1.2700000000,4228.6200000000,0.0200000000,4228.6800000000,1.8500000000,4228.6900000000,0.0100000000
1755683331573,2025-08-20T09:48:51.573000+00:00,bybit,ETH/USDT:USDT,L2,,4228.5500000000,4228.5600000000,4228.5500000000,12.2200000000,4228.5400000000,0.0200000000,4228.5000000000,0.0200000000,4228.4800000000,0.0100000000,4228.4700000000,0.0100000000,4228.5600000000,65.8300000000,4228.6000000000,1.2700000000,4228.6200000000,0.0200000000,4228.6800000000,1.8500000000,4228.6900000000,0.0100000000
1755683331673,2025-08-20T09:48:51.673000+00:00,bybit,ETH/USDT:USDT,L2,,4228.5500000000,4228.5600000000,4228.5500000000,12.2200000000,4228.5400000000,0.0200000000,4228.5000000000,0.0200000000,4228.4800000000,0.0100000000,4228.4700000000,0.0100000000,4228.5600000000,65.8300000000,4228.6000000000,1.2700000000,4228.6200000000,0.0200000000,4228.6800000000,1.8500000000,4228.6900000000,0.0100000000
1755683331873,2025-08-20T09:48:51.873000+00:00,bybit,ETH/USDT:USDT,L2,,4228.5500000000,4228.5600000000,4228.5500000000,12.2600000000,4228.5400000000,0.0200000000,4228.5000000000,0.0200000000,4228.4800000000,0.0100000000,4228.4700000000,0.0100000000,4228.5600000000,69.5200000000,4228.6000000000,1.2700000000,4228.6200000000,0.0200000000,4228.6800000000,1.8500000000,4228.6900000000,0.0100000000
1755683332174,2025-08-20T09:48:52.174000+00:00,bybit,ETH/USDT:USDT,L2,,4228.5500000000,4228.5600000000,4228.5500000000,23.3300000000,4228.5400000000,0.0200000000,4228.5000000000,0.0200000000,4228.4800000000,0.0100000000,4228.4700000000,0.0100000000,4228.5600000000,69.5200000000,4228.6000000000,1.2700000000,4228.6200000000,0.0200000000,4228.6800000000,1.8500000000,4228.6900000000,0.0100000000
1755683332573,2025-08-20T09:48:52.573000+00:00,bybit,ETH/USDT:USDT,L2,,4228.5500000000,4228.5600000000,4228.5500000000,11.8800000000,4228.5400000000,0.0200000000,4228.5000000000,0.0200000000,4228.4800000000,0.0100000000,4228.4700000000,0.0100000000,4228.5600000000,70.7100000000,4228.6000000000,1.2700000000,4228.6200000000,1.5200000000,4228.6800000000,1.8500000000,4228.6900000000,0.0100000000
1755683332874,2025-08-20T09:48:52.874000+00:00,bybit,ETH/USDT:USDT,L2,,4228.3600000000,4228.3700000000,4228.3600000000,0.3000000000,4228.3300000000,0.0200000000,4228.2900000000,0.5000000000,4228.2500000000,0.0300000000,4228.2200000000,0.0200000000,4228.3700000000,71.1400000000,4228.3800000000,2.6200000000,4228.4000000000,1.2800000000,4228.4100000000,2.1300000000,4228.4500000000,0.0200000000
